item_id,page,from_store_number,from_store_name,to_store_number,to_store_name,sku,description,style_color,vendor,vendor_sku,category_code,category_name,from_mtd_turns_raw,from_mtd_turns,to_mtd_turns_raw,to_mtd_turns,size_grid,quantity_breakdown_json,total_quantity,report_total_quantity
14,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,MENSKATEWHNV,ZapDpPtAm6PuEAGLE 1,PLAN/BLAN,CWIT,MENSKATE_WHITE NAVY,541,Zap.Deportivo Hombre,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""075"", ""quantity"": 1}]",1,1
15,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD322491BN,ZapPtMetCosPuLOREN 1,PLAN/CAFE,GVIT,PD322491_BROWN,514,Zap Casl Pu Plant,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
16,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,PD3249926BK,ZapPtMetCosPuLOREN 1,PLAN/NEGR,GVIT,PD3249926_BLACK,513,Zap Casl PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
17,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZ100117BKPU,ZapTaMetPuLOREN 5,TACO/NEGR,GYUS,YSZ100117_BLACK PU,511,Zap Vest PU Tacon H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""080"", ""quantity"": 1}]",1,1
18,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,YSZWD0715W9BN,ZapPtMetLisLOREN 6,PLAN/CAFE,GYUS,YSZWD0715W9_BROWN,512,Zap Vest PU Plant H,"0,0",0.0,"0,0",0.0,050 | 055 | 060 | 065 | 070 | 075 | 080 | 085 | 090 | 095 | 100 | 105 | 110 | 120 | M | 115 | 130 | 4,"[{""row"": """", ""column"": ""100"", ""quantity"": 1}]",1,1
19,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,2806KDRGY,ZapDpPtAm4PuEAGLE W,PLAN/KIDS,MBUC,2806KD_REY GRAY,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,11 | 115 | 12 | 125 | 13 | 135 | 1 | 1.5 | 2 | 2.5 | 3 | 3.5 | 4 | 4.5 | 5 | M | 10 | 105,"[{""row"": """", ""column"": ""13"", ""quantity"": 1}, {""row"": """", ""column"": ""135"", ""quantity"": 1}, {""row"": """", ""column"": ""1.5"", ""quantity"": 1}, {""row"": """", ""column"": ""2"", ""quantity"": 1}]",4,4
20,3,2,UNLIMITED C. 2000,6,UNLIMITED Centro,MT9BKAB,ZapDpPtAm6PuEAGLE 1,PLAN/NEGR,MBUC,MT9_BLACK AMBAR,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}]",1,1
21,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHLECGMRN,ZapDpPtAm5PuEAGLE 1,PLAN/LATE,MBUC,ZURICH_LATE COG MRN,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}]",1,1
22,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHMRNWHGY,ZapDpPtAm5PuEAGLE 1,PLAN/AZUL,MBUC,ZURICH_MARINO WHT GY,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}]",1,1
23,4,2,UNLIMITED C. 2000,6,UNLIMITED Centro,ZURICHWHRDBK,ZapDpPtAm5PuEAGLE 1,PLAN/BLAN,MBUC,ZURICH_WHITE RED BLK,553,Zap Deportivo Niño,"0,0",0.0,"0,0",0.0,050 | 060 | 070 | 080 | 090 | 100 | 110 | 120 | 130 | 140 | M,"[{""row"": """", ""column"": ""060"", ""quantity"": 1}]",1,1
