file_name,canonical,before_present,after_present,before_path,after_path,before_size,after_size,before_last_write_time,after_last_write_time,before_sha256,after_sha256,file_status
RIORDWK.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIORDWK.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIORDWK.MDB,126976,126976,2026-05-04T17:26:48.496Z,2026-05-04T17:26:50.574Z,636b02b93e12dccb43362f9e8e5617ea5ab0ddd719b1688878ef0106c8a1ae8d,636b02b93e12dccb43362f9e8e5617ea5ab0ddd719b1688878ef0106c8a1ae8d,same
RIOTB.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIOTB.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIOTB.MDB,12394496,12394496,2026-05-04T17:26:48.543Z,2026-05-04T17:26:50.616Z,be95a364df5be19b010becd64471d1bac6520a5b87e421399523d67ef257f33e,9452f05776f38cfe94f989e8ede45ba5ee3bc36ce3d61f15b1ae0eedecae9ca1,hash_differ
RIPARMS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIPARMS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIPARMS.MDB,69795840,69795840,2026-05-04T17:26:49.063Z,2026-05-04T17:26:50.939Z,a2d0c1fa556e50f0a7ef29080f1f3431e95df5c2b2fa2615d8b3265aa1b19240,eac007da9c4494f53e45abdb26aeddd7c37faf64c4064cd8d50ef5b0d3f821e0,hash_differ
RIPASS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIPASS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIPASS.MDB,208896,208896,2026-05-04T17:26:49.077Z,2026-05-04T17:26:51.112Z,7bc95a029e3a527523e582ec9a7edf02d5e7984b3295f4ec00a81e55b5f7bedf,7bc95a029e3a527523e582ec9a7edf02d5e7984b3295f4ec00a81e55b5f7bedf,same
RIPODET.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIPODET.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIPODET.MDB,38277120,38277120,2026-05-04T17:26:49.360Z,2026-05-04T17:26:51.560Z,965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,965fcae44d9c2fb02ba35ee1a3c78ed7f54ba15475c68c116bd2391bba86602c,same
RIPOMAS.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIPOMAS.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIPOMAS.MDB,3084288,3084288,2026-05-04T17:26:49.594Z,2026-05-04T17:26:51.695Z,21d3197be7dd1459fee4faf9018c792aca4ab9dee61981950eaf484efaea3d0d,24b8f5734379097c6960dbfeeca786a26c65176fdaddb05475cda36dc9ef00b3,hash_differ
RIPRCLOG.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIPRCLOG.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIPRCLOG.MDB,3510272,3510272,2026-05-04T17:26:49.671Z,2026-05-04T17:26:51.723Z,94727be8c6767a85695aaa1486ece17671399ea972ccb70b747596a7b2df752c,94727be8c6767a85695aaa1486ece17671399ea972ccb70b747596a7b2df752c,same
RIRETURN.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIRETURN.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RIRETURN.MDB,86016,86016,2026-05-04T17:26:49.691Z,2026-05-04T17:26:51.782Z,0c93b8f788a742fa7a3e3ff67228eafb883859bf5bcdca10e81a1980d7ab6cb6,0c93b8f788a742fa7a3e3ff67228eafb883859bf5bcdca10e81a1980d7ab6cb6,same
RISIZE.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RISIZE.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RISIZE.MDB,290816,290816,2026-05-04T17:26:49.848Z,2026-05-04T17:26:51.794Z,e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,e25d0e3aacee3e9755ccfa4e504d8fffecfd298a6080d63b6d15b0e4ef2f5e47,same
RISLSPSN.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RISLSPSN.MDB,E:\data\rics-mdbs\May_1_after_close\RICSDATA (1)\RISLSPSN.MDB,1445888,1445888,2026-05-04T17:26:49.985Z,2026-05-04T17:26:51.873Z,629ce6f808b22e8ff3b29c718ac8ed7a0fa603cd262b7f5dffc22ce772789222,76ac161f30dee3f9a6ee08b40e3b46d7a530136205601d1b3d5ce893cb629296,hash_differ
