sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
065-BKPU,color,1,Negro,script:sku-suffix-attributes,2026-05-07 06:05:15.976
065-BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
065-BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
065-GYPKPU,color,13,Rosa,script:sku-suffix-attributes,2026-05-07 06:05:15.976
065-GYPKPU,color_family,pink,Rosas,seed:derived:color_family,2026-05-07 06:05:15.976
065-GYPKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
065-WHPU,color,2,Blanco,script:sku-suffix-attributes,2026-05-07 06:05:15.976
065-WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
065-WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
083-WHBKPU,color,1,Negro,script:sku-suffix-attributes,2026-05-07 06:05:15.976
083-WHBKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
083-WHBKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
083-WHKHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
083-WHPU,color,2,Blanco,script:sku-suffix-attributes,2026-05-07 06:05:15.976
083-WHPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
083-WHPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2CPME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2-CPSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2SLME,color,16,Plateado,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2SLME,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 06:05:15.976
107-2SLME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2-SLSP,color,16,Plateado,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-2-SLSP,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 06:05:15.976
107-2-SLSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-3BKME,color,1,Negro,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-3BKME,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
107-3BKME,upper_material,me,Metalico,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-3-BKPV,color,1,Negro,script:sku-suffix-attributes,2026-05-07 06:05:15.976
107-3-BKPV,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 06:05:15.976
