file_name,canonical,before_present,after_present,before_path,after_path,before_size,after_size,before_last_write_time,after_last_write_time,before_sha256,after_sha256,file_status
1RITRANS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\1RITRANS.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\1RITRANS.MDB,1773568,1773568,2026-05-04T17:26:06.912Z,2026-05-04T17:26:06.912Z,bce12a27ffe2fae699d44a0203732be83432d2bdb923075cda40cb6b4e393394,bce12a27ffe2fae699d44a0203732be83432d2bdb923075cda40cb6b4e393394,same
FR.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\FR.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\FR.MDB,40960,40960,2026-05-04T17:26:06.923Z,2026-05-04T17:26:06.923Z,dd0404fb789978f3fd8f6db375a87f9e38de53ebf98cd838260d1b4dd6be67ac,dd0404fb789978f3fd8f6db375a87f9e38de53ebf98cd838260d1b4dd6be67ac,same
INVFISICOINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\INVFISICOINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\INVFISICOINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.930Z,2026-05-04T17:26:06.930Z,96844bd2b44715797ba081f03ea4d68cc03007cc210eee8ba2f19289dc74cbeb,96844bd2b44715797ba081f03ea4d68cc03007cc210eee8ba2f19289dc74cbeb,same
JOELINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\JOELINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\JOELINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.935Z,2026-05-04T17:26:06.935Z,9394f9b8dbe9ef3b38bd2214c5cf3a8d1e52dc93bafca95a36205d1065e85f88,9394f9b8dbe9ef3b38bd2214c5cf3a8d1e52dc93bafca95a36205d1065e85f88,same
LLAMADASINVDETTEMP.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\LLAMADASINVDETTEMP.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\LLAMADASINVDETTEMP.MDB,40960,40960,2026-05-04T17:26:06.941Z,2026-05-04T17:26:06.941Z,ee12bdc047d1c14e28db8e2324239a1923eefe93d86980c09642d88296b452f7,ee12bdc047d1c14e28db8e2324239a1923eefe93d86980c09642d88296b452f7,same
RIADDRS.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIADDRS.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIADDRS.MDB,90112,90112,2026-05-04T17:26:06.947Z,2026-05-04T17:26:06.947Z,8afb9134c73c0b0701a18436615b1415ad5407ced99b5a7a07c5f7a1501c0e65,8afb9134c73c0b0701a18436615b1415ad5407ced99b5a7a07c5f7a1501c0e65,same
RIALARM.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIALARM.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIALARM.MDB,155648,155648,2026-05-04T17:26:06.952Z,2026-05-04T17:26:06.952Z,750577547fbe443f6d717ab2dd4a3749fbd924c83967466ddda926b1b5b899e5,750577547fbe443f6d717ab2dd4a3749fbd924c83967466ddda926b1b5b899e5,same
RIARACCT.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARACCT.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARACCT.MDB,49152,49152,2026-05-04T17:26:06.958Z,2026-05-04T17:26:06.958Z,3dd4ea5e7dde30af2a32433e05b23be030cfa9b19767c8aa0aa28cc4e99392fb,3dd4ea5e7dde30af2a32433e05b23be030cfa9b19767c8aa0aa28cc4e99392fb,same
RIARTICK.MDB,no,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARTICK.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RIARTICK.MDB,94208,94208,2026-05-04T17:26:06.963Z,2026-05-04T17:26:06.963Z,1f069b043697f1aa3d5b097ea56d51deb56718c64fe5471bcc01d8c87b3e3949,1f069b043697f1aa3d5b097ea56d51deb56718c64fe5471bcc01d8c87b3e3949,same
RICASEPK.MDB,yes,yes,yes,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICASEPK.MDB,E:\data\rics-mdbs\May_1_before_close\RICSDATA\RICASEPK.MDB,466944,466944,2026-05-04T17:26:06.980Z,2026-05-04T17:26:06.980Z,dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,dcb733b77003a5a31109f9747a95cf243169f91d1898d8ac5452a69d4edda77e,same
