from_store_number,from_store_name,to_store_number,to_store_name,sku,description,category_code,vendor,row_label,column_index,column_label,quantity,from_mtd_turns,to_mtd_turns
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,305LSNV,GuayBotDisMlLOREN 3,330,IBLA,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12137126LGY,CamtClLetrMcJACK 2,332,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12232653WH,CamtClDiseMcJACK& 2,332,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,SH8011GN,CamtClUsfMcPAULM 6,332,GSIH,,4,M,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CMTKV01NV,CamtClUsfMlKING V,333,HKAI,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,CAMTKU01OG,CamtClSmAlgdLOREN U,334,HKAI,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12221012GY,CamtCpBotMcPAUL 6,336,IBLA,,2,XS,1,8.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,SH4NV,CamtCpUsfMcPAULM 6,336,GSIH,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,MP24494LBN,FajaHebCueCLAUD 6,341,GVIT,,7,38,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,7203N3,CorbPunSedaLOREN 6,361,GYIS,,1,TU,2,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,HS002KH,CorbUsfSedaLOREN 6,361,GYIS,,1,TU,1,1.4,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,912BK1,JackCx2BotMlPAULM 1,462,GJIC,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,AL120JY358261BN,ChaqCpBotMlPAULM 6,462,GJIC,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,12186375GN,SuetGorClMlJACK& 2,466,PBET,,6,XL,1,0.0,0.0
2,UNLIMITED C. 2000,5,UNLIMITED FORHIM,EMK16001449565,Set3CalcAlgdJOCKEY U,474,PVER,,1,TU,2,0.0,0.0
2,UNLIMITED C. 2000,9,The Jeans Company Tg,12232356SBL,CamtClLetrMcJACK& 2,331,PBET,,2,XS,1,0.0,0.0
2,UNLIMITED C. 2000,9,The Jeans Company Tg,22023645BE,SuetClUsfMlONLYS X,466,PBET,,3,S,1,0.0,0.0
2,UNLIMITED C. 2000,9,The Jeans Company Tg,22023645OL,SuetClUsfMlONLYS X,466,PBET,,5,L,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,TRBFC00118678BK,Saco2BoUsfMlLOREN 2,301,GBOS,SMA,8,46,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,TRBFC00118678NV,Saco2BoUsfMlLOREN 2,301,GBOS,SMA,7,44,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,TRGS3S97092BL,SacoCx2BoMlLOREN 6,301,GBOS,SMA,4,38,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,TRGS4203055BN,SacoCx2BoMlLOREN 6,301,GBOS,REG,8,46,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,PTGS1JA77862BK,PantReTrajeLOREN 9,304,GBOS,32,5,32,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BSFD1801N2204NV,PantCiUsfPdeLOREN 8,305,GBOS,30,3,30,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BSFD1801N2204NV,PantCiUsfPdeLOREN 8,305,GBOS,32,7,34,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BSFD1801N2204NV,PantCiUsfPdeLOREN 8,305,GBOS,32,9,36,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,BSFD1801N2204NV,PantCiUsfPdeLOREN 8,305,GBOS,32,11,38,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F1C2SF,PantCiUsfRecLOREN T,305,IBAN,30,3,30,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F1C2SF,PantCiUsfRecLOREN T,305,IBAN,30,4,31,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F1C2SF,PantCiUsfRecLOREN T,305,IBAN,32,3,30,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F2C1TF,PantCiUsfRecLOREN T,305,IBAN,32,5,32,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F3C2KF,PantCiUsfRecLOREN T,305,IBAN,30,5,32,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F4C2SF,PantCiUsfRecLOREN T,305,IBAN,30,3,30,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F5C1SF,PantCiUsfRecLOREN T,305,IBAN,30,5,32,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,F5C2KF,PantCiUsfRecLOREN T,305,IBAN,32,5,32,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,PAGS130704BK,PantTrajeReLOREN 6,305,GBOS,32,7,34,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,0819KDDBL,JeanCiSkyStrePAULM L,311,WADH,30,3,30,1,0.0,1.6
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,382IDBL,JeanCiStreSlmLOREN L,313,WADH,30,9,36,1,0.0,0.0
2,UNLIMITED C. 2000,12,UNLIMITED MEGAMALLSP,0715008SNV,CamBotUsfMlLOREN 6,321,GVIR,,2,XS,1,0.0,0.0
