skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
065-BKPU,556,9,BKPU,color,BK,BK,1,Negro,neutral,true
065-BKPU,556,9,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
065-GYPKPU,556,9,PKPU,color,PK,PK,13,Rosa,pink,true
065-GYPKPU,556,9,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
065-WHPU,556,9,WHPU,color,WH,WH,2,Blanco,neutral,true
065-WHPU,556,9,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
083-WHBKPU,556,9,BKPU,color,BK,BK,1,Negro,neutral,true
083-WHBKPU,556,9,BKPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
083-WHKHPU,556,9,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
083-WHPU,556,9,WHPU,color,WH,WH,2,Blanco,neutral,true
083-WHPU,556,9,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
107-2CPME,567,6,CPME,upper_material,ME,ME,me,Metalico,,true
107-2-CPSP,567,A,CPSP,upper_material,SP,SP,sp,Suede/Peluche,,true
107-2SLME,567,6,SLME,color,SL,SL,16,Plateado,metallic,true
107-2SLME,567,6,SLME,upper_material,ME,ME,me,Metalico,,true
107-2-SLSP,567,A,SLSP,color,SL,SL,16,Plateado,metallic,true
107-2-SLSP,567,A,SLSP,upper_material,SP,SP,sp,Suede/Peluche,,true
107-3BKME,567,6,BKME,color,BK,BK,1,Negro,neutral,true
107-3BKME,567,6,BKME,upper_material,ME,ME,me,Metalico,,true
107-3-BKPV,567,A,BKPV,color,BK,BK,1,Negro,neutral,true
107-3-BKPV,567,A,BKPV,upper_material,PV,PV,pv,PVC/Vinilo,,true
107-3GDME,567,6,GDME,color,GD,GD,15,Dorado,metallic,true
107-3GDME,567,6,GDME,upper_material,ME,ME,me,Metalico,,true
107-3-GDPV,567,A,GDPV,color,GD,GD,15,Dorado,metallic,true
107-3-GDPV,567,A,GDPV,upper_material,PV,PV,pv,PVC/Vinilo,,true
107-3PKME,567,6,PKME,color,PK,PK,13,Rosa,pink,true
107-3PKME,567,6,PKME,upper_material,ME,ME,me,Metalico,,true
107-3-PKPV,567,A,PKPV,color,PK,PK,13,Rosa,pink,true
107-3-PKPV,567,A,PKPV,upper_material,PV,PV,pv,PVC/Vinilo,,true
107-3SLME,567,6,SLME,color,SL,SL,16,Plateado,metallic,true
107-3SLME,567,6,SLME,upper_material,ME,ME,me,Metalico,,true
107-3-SLPV,567,A,SLPV,color,SL,SL,16,Plateado,metallic,true
107-3-SLPV,567,A,SLPV,upper_material,PV,PV,pv,PVC/Vinilo,,true
1130-102B-BKNU,558,2,BKNU,color,BK,BK,1,Negro,neutral,true
1130-102B-BKNU,558,2,BKNU,upper_material,NU,NU,nu,Nubuck,,true
1130-102B-GOPU,558,2,GOPU,upper_material,PU,PU,pu,PU (Polyuretano),,true
1130-102B-KHNU,558,2,KHNU,upper_material,NU,NU,nu,Nubuck,,true
1130-145-BENB,558,4,BENB,color,BE,BE,3,Beige,neutral,true
1130-145-BENB,558,4,BENB,upper_material,NB,NU,nu,Nubuck,,true
1130-145-KHNB,558,4,KHNB,upper_material,NB,NU,nu,Nubuck,,true
1130-146-BKPT,558,4,BKPT,color,BK,BK,1,Negro,neutral,true
1130-146-BKPT,558,4,BKPT,upper_material,PT,PT,pt,Patent (Charol),,true
1130-146-KHPT,558,4,KHPT,upper_material,PT,PT,pt,Patent (Charol),,true
11305-9219-BKSP,558,2,BKSP,color,BK,BK,1,Negro,neutral,true
11305-9219-BKSP,558,2,BKSP,upper_material,SP,SP,sp,Suede/Peluche,,true
113059-219-BKSP,558,4,BKSP,color,BK,BK,1,Negro,neutral,true
113059-219-BKSP,558,4,BKSP,upper_material,SP,SP,sp,Suede/Peluche,,true
