diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Number,"[""V:21""]",c74053934dda1056f24f6cda3429468c0b33357aad90977a66116990ba33c2e0,8f27b8ab030d854625c7b69d2db49349aecfbaf43760937b4b7bc2c5a1fa9cc9,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:22""]",47bdc280d4b06c5cff34f0e1beabe8d20740753a1e3c02ef0c9e93a5af18d7f7,08b159e044f668ff8f7b2d298c01b1d086b23537e02f11d5984f807a567749b0,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:23""]",35b6399e9e8de1958057abc12d224e90f2b9be89c672bdb87e4bd1e0ba206c02,aabaf562e13010ae65f336b4f4b522f525bf4602d148f9fe92aa7e217b2be1aa,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:24""]",317e1b52e6d29fbf3106398b8b399713bb241fb8a385eae23d1ada4300640bf7,f81c387df38812f99c564dd51578af77e723c48a8c55cacef1c7e02954dff15e,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:25""]",58ad86890d8cc58fbeb4ceb0770ce7d49c6b993c1ed77320658803e9cbed1788,47d32b54008d952fb8bbaba4ca0336a6c7d2889c9cf0ff4e3f9d65bd41e13c7f,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:26""]",3d3a8afbcced629136f31796235f5fb8a859f03aecdba81706221a3d21963837,a6785a161086b8f602e173e9ea877bd17e18a3d97a396608f096992db648675c,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:28""]",a9b651d979532382194847bf7977a1bf9abbe11dbe5f84fb517987374867eb2c,88d46699ca1b5e1043cec81963ace000f78add7b3ed5feec03ad3a17d8e0f903,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:29""]",2d3213e4399b9b97c10e8a54ff9c44a70a24cd260b7b4e6c77a91811d86f2324,80dfe875aa856653e7fd50f2dc258eb5886f2374d8f9619683b98de204830cfa,TenderAccum_01|TenderAccum_03|TenderAccum_10|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:30""]",1700a42138a693359eefbea858ee244ddb862b5104ae9069a945430d15b09068,c93e813946e31e9f530d4f7efeecec035a59e7e531649a46b95676e6d08fc14e,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:35""]",8e1224df9457cc620ddf8a7f7b32e7d0e381617b8846e3a8524639880f9c1a39,4eb2170c06efc8c905a93f4ac288d16c0612653528ee283d7775971a687c6ca5,TenderAccum_01|TenderAccum_03|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:41""]",d90c8c077366e04e72f7eba1f413942a9e3df7168f16fbcdb098a64898a83723,feb3ff9e7c381d4903f19bf53393494ddc83f2317b07ee6ae575bdecc8e99309,TenderAccum_01|TenderAccum_03|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_11
changed,Number,"[""V:42""]",b9021100d911577cf54c0f5bdc83bb12becaaa5f355804d3cd459550d5e93818,30b0f04407505d6a602f46bceafeeb438c6166f937fed6323ae454f7e0b2d932,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
changed,Number,"[""V:43""]",ee0147d4ae3ca03a446c0d603f57e9911682c6c22d094bbc03e0a6546d2c4c09,f14c838de65de46f02e13d5aaf8cc40c22f6538421d80ed4d9c522daae4c545a,TenderAccum_01|TenderAccum_03|TenderAccum_10|OverShort|Retail|Markdown|Returns|CostofSales|SalesTax1|GiftCertSold|Trans1Tenders_01|Trans1Tenders_03|Trans1Tenders_10|Trans1Tenders_11
