diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,PO Number,"[""S:00105""]",0d09a38a5e0aca5c56e1fcd8d6b7cbe0b0e10e3f1d809cef4ffaa1203ec8164d,58ebefb0459940e04eefc72ca43b8f436332b977dba898f3c572938abfa073de,DateLastChanged
changed,PO Number,"[""S:0010848""]",5231f5e56344b2acb578e826d0eb69cbf7c72c831bfbef2b84230b1136ca64b8,7749798e6d88017dad703c0b468f2afaa68cd2414e21f988e2dfec087573a6e7,DateLastChanged
changed,PO Number,"[""S:001205""]",5d1fd54defeef02ac3db98f4f3fd3086ca60a50d74cfb92a8d8003e34a9e6222,f94dec72857f169964136bbbae3a6dfb0bff7d02c862c6908af1ad3e7a3d8992,DateLastChanged
changed,PO Number,"[""S:001286""]",883949c79ef004e14d453ce19c2e15d2a11f93bdf1ef783bd08445d9d681d72f,6a49bb2a9040e1ce292e3298e9572287ee383df2a35145ad303c0e84023fead6,DateLastChanged
changed,PO Number,"[""S:001338""]",b5c9d848b52e8c510f2c8577dfcc26fc400b743657dc3346d1e7bba12048a4b6,777f0cb56f01f8dd825b422da03d2cd7feeb9daa42f87ca9149d4e1bdba8bcfa,DateLastChanged
changed,PO Number,"[""S:001376""]",ee856cf5d0ad6984b64e208deea0b53b88c2b0ad6ccd47970f38497adbe15dc4,bf0a1f1a69b9f03975e13a814a20dc3650f115e32845a4cf41f2d17ac104872e,DateLastChanged
changed,PO Number,"[""S:001400""]",668dd1d5e71196eff7e3e3eaea47e0f515c91ae61d159662ad01f01e2ce26b01,003bf4cb13005e098c5d6bbf7a90e8498699e0838bd729a797ad1653563600db,DateLastChanged
changed,PO Number,"[""S:001413""]",8ab420be9209cb42fa57c27970841a404bdcd75992ff20276df06f803ba3c9e0,9a44892c40f85c6ef7c9c48dfc94e49b59c9a64ff6220cd893a736fbb752c83c,DateLastChanged
changed,PO Number,"[""S:001435""]",b2918a8a5078e18c44f4da1c4ddd2bab7be445f3f2150b2159f5f60074a70520,31cfa907edf4181092d14627d5b91a3518e9bf94c12a13d9bf605499e59c62b8,DateLastChanged
changed,PO Number,"[""S:001628""]",b87bbf1537f154beeb56b04af10d2c6cc543bb338b05c40b48e4baf09fc53adc,25ea8696d7654977b165af455b57e3c39bff8e7c4e2f2df4ad083c2d587473e8,DateLastChanged
changed,PO Number,"[""S:002""]",31f3b052149b87f9d9cf0cb21ce8819ef39e76f5eaee7020aca31ec08a716029,c9aa3b0340bdec0a86f9316ef80cda150edf09c46d4cb4b6c25bb3500d36250f,DateLastChanged
