diff_type,key_columns,key_values_json,before_row_hash,after_row_hash,changed_columns
changed,Store|Category,"[""V:2"",""V:71""]",597b1997c21b89965d9286bbe63f511953bdb51cbd9b91369c170838944a3da7,bf07c0364e3468a1a2ced54053094bf1e125c62f25ed2f02dd4c599d33fd7ffb,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:72""]",309ad6dfdd855b0f7139c3103304cc4dd1a26b37778606c3b0b7d83e36e143d4,0a4cb8643a95dcf92de99f27063bfe235a2d70e3dbe08bd1a27dde6101975e19,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:91""]",80fb23558174c5d93a86767f16db4df8b57d29d1a7eff8776d8b91e7fe7ce912,421bdbe1d2793a4ccfebc60c502842385e50447d0000f649694e4b8d97af8f4b,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:108""]",ec640c705f0f9350cdd5085508f3706b2ec9875351e5c966a185d8caa35c09ca,1058e95cc57d3f1ebd684cfb547c3b5460a05af7352e017082d345d1b8f8d20c,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:109""]",333ac1d547b1e378d9444cf4393b9373009798ddf7eb09df0d288b0f241052ff,b347227933ca3b254466cd2015aec1df4f952a843d917ded80deaad65cca9c7b,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:301""]",48e0d253c4f4cfd2c7d185bb1abf6ea5b326379eb93331314901c6ec41937e72,624d9ffaaddf96797dc9b893658e39c6c5ec9bbb1be5217f4b918b7a4c2f4722,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:304""]",9e97cd50f6a67ff84a88063b72211b2bd4f430ba3650878f1b03e9ece3c967cb,80d8b87631e34bbef92d9f4e7ab1833d0283fa296765cb9a58676affdc2d29b0,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:305""]",7a01380a884c7acf020486f4275865dfe0e1367be289f93c585af321a68c939f,1e4435c6e3c13caea0b39e971ff9facc2c7bd63d21d4b02c44cbd1f57a767d7b,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:306""]",e9f7fcb206bfccdc108d301e482ef694be4a0c22068cc0a786805121af4ea079,c5f7508f67cd3b2e09e2445d0e28fb2404e6fcd043451be815563195e7621d25,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:308""]",623335cb8e885870bb732b76b6d14c129e9795d6ed0bf7f229af0e62f1140e78,329ea3a867408dc313719bf1fe966a4097a993ae12cffe187790d80e0c0d8a82,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:309""]",63af1636c473d01d7e1dbbc22a9f93534dd34c800ef752dc4789ffad55bc124c,fbd5d88ce746f760d2c3e21f031bbad2f6f986ff46e1b039544bf8467293b7b0,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:311""]",d67b14fef9e36569f52873653f3d8881025ae2b5bff3802af5bf7182502f981e,dfdd854715f4fd5af571e61ee7e634bb2b2766b06dea8dc7965b65bab65eb849,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:313""]",af698290bc754c4d15238b3206896f433acb356b6c07a448e5b90f02e05074e1,e6c8a0a345b34b133ae7a8bfdcf4c05d06c158546cf4818824478cf4cafca6df,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:320""]",eab047f62f5f4c9c956890200e47ed21ca68127cc9cff47917e87aec8776db99,e48015782155ad76d3bf73dd51cdb4abe1f4c93997398267ae412252abce379c,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:321""]",9389e6e27a9c7e95b48183aec97d658bf420b6e4290872a001d57f9d9045b78c,af1a043f25e47ad386c52ee23a3302a5a5a6e6f57ae5f6c9af73fc91b6b48853,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:322""]",9d7172a294d1f4fd890dd7af4dae3bfe2b2edaafb14d321c0e05b25ec1b1fa2a,82b59059ce6643746f8561523950f007cf57fb95e192abf1fb028fa27238c750,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:323""]",6d9e4d869028682b64923e317cd44245457a705e3fedf6af6ecb55ceab3285e4,3846e18bafedc2700991739b893b352f1a2422540890480302a2c2f959e7746b,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:324""]",b63c251b6459b8335fb57ee6360c1a7811fc5652986449435e1ecc1e650944d3,742a7401a6bd9537c399e3daa2d736f87554d575a5c3b395980a3ab724b95b91,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:325""]",cc7f70c142e3fbfbb9fc31cdf87750b48f68ab9b701fe27943c88f5169fa4735,9f9670bf6affe616c83077e14d10fea5d3ba4b1a525761cd50102023cf35607a,Current Year Budget_04|Next Year Budget_04
changed,Store|Category,"[""V:2"",""V:327""]",8a4063c2b79980d165d11854299ca160c54e291ace1473a99eb5bf83b777bad3,2caf1e9f7bca809cc70309bf754cb879aa67e6efcaab245109ab94ba763e94dd,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:328""]",7f93531a67eebe58dad25d008a1a68524588088431342b19a97739df0820b82c,3684c634ba5b449cfa83dd687da1975dad96909a1c1d073d2783041c3756ff75,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:329""]",84c0bfe90898a4620628e706793adb48d01d2f274734c14ad29d54e1656a5a8b,c443520166d344e1d82e88a64e74958378cbfeb0e8877fd48ff07ac6a559028a,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
changed,Store|Category,"[""V:2"",""V:330""]",8e7e4b954ac6d4d7daf89d65e411561e7ddb6532a96e1cee245d8414dd06bbf2,eea83f1cbd4e4137db34bc7ae56d2faad909e97c655a8bc0124379750fca47a7,Current Year Budget_04|Next Year Budget_04|Current MkDwn Pcts_04
