skuCode,categoryNumber,season,suffix,dimensionCode,rawCode,canonicalCode,valueCode,labelEs,colorFamilyCode,applied
1130-5-BLKPU,558,4,LKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5BLPU,558,6,BLPU,color,BL,BL,bl,Azul,blue,false
1130-5BLPU,558,6,BLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5CAPU,558,6,CAPU,color,CA,CA,ca,Camel,brown,false
1130-5CAPU,558,6,CAPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-CFPU,558,4,CFPU,color,CF,CF,cf,Cafe Oscuro,brown,false
1130-5-CFPU,558,4,CFPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-CHPPU,558,4,HPPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-GDPU,558,4,GDPU,color,GD,GD,gd,Dorado,metallic,false
1130-5-GDPU,558,4,GDPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-GNPU,558,4,GNPU,color,GN,GN,gn,Verde,green,false
1130-5-GNPU,558,4,GNPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-KHNU,558,2,KHNU,color,KH,KH,kh,Khaki/Kaki,brown,false
1130-5-KHNU,558,2,KHNU,upper_material,NU,NU,nu,Nubuck,,false
1130-5-KHPU,558,4,KHPU,color,KH,KH,kh,Khaki/Kaki,brown,false
1130-5-KHPU,558,4,KHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-LBNPU,558,4,BNPU,color,BN,BN,bn,Cafe,brown,false
1130-5-LBNPU,558,4,BNPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-NVPU,558,4,NVPU,color,NV,NV,nv,Azul Marino,blue,false
1130-5-NVPU,558,4,NVPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-PKPU,558,4,PKPU,color,PK,PK,pk,Rosa,pink,false
1130-5-PKPU,558,4,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5PKPU,558,6,PKPU,color,PK,PK,pk,Rosa,pink,false
1130-5PKPU,558,6,PKPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-PWPU,558,4,PWPU,color,PW,PW,pw,Peltre,metallic,false
1130-5-PWPU,558,4,PWPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5-PWSP,558,4,PWSP,color,PW,PW,pw,Peltre,metallic,false
1130-5-PWSP,558,4,PWSP,upper_material,SP,SP,sp,Suede/Peluche,,false
1130-5-SLPU,558,4,SLPU,color,SL,SL,sl,Plateado,metallic,false
1130-5-SLPU,558,4,SLPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5WHPU,558,6,WHPU,color,WH,WH,wh,Blanco,neutral,false
1130-5WHPU,558,6,WHPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-5WNPU,558,6,WNPU,color,WN,WN,wn,Vino,red,false
1130-5WNPU,558,6,WNPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-85-BKME,558,2,BKME,color,BK,BK,bk,Negro,neutral,false
1130-85-BKME,558,2,BKME,upper_material,ME,ME,me,Metalico,,false
1130-85-BLKME,558,4,LKME,upper_material,ME,ME,me,Metalico,,false
1130-85-DCFPU,558,4,CFPU,color,CF,CF,cf,Cafe Oscuro,brown,false
1130-85-DCFPU,558,4,CFPU,upper_material,PU,PU,pu,PU (Polyuretano),,false
1130-85-GDME,558,4,GDME,color,GD,GD,gd,Dorado,metallic,false
1130-85-GDME,558,4,GDME,upper_material,ME,ME,me,Metalico,,false
1130-85-GOME,558,2,GOME,upper_material,ME,ME,me,Metalico,,false
1130-85-NVPU,558,4,NVPU,color,NV,NV,nv,Azul Marino,blue,false
