store_number,sku,col,row,description,style_color,vendor,vendor_sku,category_code,category_name,on_hand,occurrence_count
2,MP24260LBNBK,32,,FajaRevCueCLAUD 6,CUER/CAFE,GVIT,MP24260_LT BROWN BLK,341,Fajas Gral Caballero,-1,1
99,BFC001S8128,46,-,SacoCx2BotMlLOREN 2,SLIM/NAVY,GBOS,"CONJUNTO_L2,798.00",301,Saco/Traje 2Bot UsfH,-1,3
