sku_code,dimension_code,value_code,value_label_es,assigned_by,assigned_at
1130-102B-GOPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-102B-KHNU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-145-BENB,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-BENB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-BENB,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-145-KHNB,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-KHNB,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-145-KHNB,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
1130-146-BKPT,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-146-BKPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-146-BKPT,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-146-KHPT,color,kh,Khaki/Kaki,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-146-KHPT,upper_material,pt,Patent (Charol),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-146-KHPT,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
11305-9219-BKSP,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
11305-9219-BKSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
11305-9219-BKSP,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
113059-219-BKSP,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-BKSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-BKSP,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
11305-9219-GOSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-GOSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
11305-9219-LGSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-LGSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-PWSP,color,pw,Peltre,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-PWSP,upper_material,sp,Suede/Peluche,script:sku-suffix-attributes,2026-05-07 05:44:06.334
113059-219-PWSP,color_family,metallic,Metalicos,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-BCKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BENU,color,be,Beige,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BENU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BENU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-BKNU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BKNU,upper_material,nu,Nubuck,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BKNU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-BKPU,color,bk,Negro,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5-BKPU,color_family,neutral,Neutros,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5-BLKPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5BLPU,color,bl,Azul,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5BLPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5BLPU,color_family,blue,Azules,seed:derived:color_family,2026-05-07 05:44:06.334
1130-5CAPU,color,ca,Camel,script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5CAPU,upper_material,pu,PU (Polyuretano),script:sku-suffix-attributes,2026-05-07 05:44:06.334
1130-5CAPU,color_family,brown,Marrones,seed:derived:color_family,2026-05-07 05:44:06.334
