sku,description,category,vendor,size_column,size_total_rics,size_total_generated,size_total_delta,rics_routes,generated_routes,candidate_donors,candidate_receivers,likely_difference
YSZ100118BKPU,ZapTaMetPuLOREN 5,511,GYUS,070,1,1,0,30->28:1,2->28:1,"2:oh=2,model=1,mtd=0,store_oh=8,store_model=8,store_mtd=0,turns=0.0,total_surplus=0 ; 30:oh=2,model=1,mtd=0,store_oh=9,store_model=8,store_mtd=0,turns=0.0,total_surplus=1","28:oh=0,model=1,mtd=0,store_oh=7,store_model=8,store_mtd=0,turns=0.0,total_surplus=-1",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
YSZWD0715W3BK,ZapPtAm4LisLOREN 6,512,GYUS,085,1,1,0,29->2:1,14->2:1,"14:oh=2,model=1,mtd=0,store_oh=4,store_model=8,store_mtd=0,turns=0.0,total_surplus=-4 ; 29:oh=2,model=1,mtd=0,store_oh=4,store_model=8,store_mtd=0,turns=0.0,total_surplus=-4","2:oh=0,model=1,mtd=0,store_oh=4,store_model=8,store_mtd=0,turns=0.0,total_surplus=-4",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
PIPERTRUMLINBK,ZapPtMetCueCLAUD 2,504,IDLO,42.5,1,1,0,30->28:1,14->28:1,"14:oh=2,model=1,mtd=0,store_oh=5,store_model=7,store_mtd=0,turns=0.0,total_surplus=-2 ; 30:oh=2,model=1,mtd=0,store_oh=4,store_model=7,store_mtd=0,turns=0.0,total_surplus=-3","28:oh=0,model=1,mtd=0,store_oh=0,store_model=7,store_mtd=0,turns=0.0,total_surplus=-7",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
MT9MRNWHBK,ZapDpPtAm6PuEAGLE 1,553,MBUC,080,1,1,0,12->6:1,2->6:1,"2:oh=2,model=1,mtd=0,store_oh=6,store_model=7,store_mtd=0,turns=0.0,total_surplus=-1 ; 12:oh=2,model=1,mtd=0,store_oh=8,store_model=7,store_mtd=0,turns=0.0,total_surplus=1","6:oh=0,model=1,mtd=0,store_oh=2,store_model=7,store_mtd=0,turns=0.0,total_surplus=-5",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
7030KDNVRD,ZapDpPtAm6PuDKDA U,553,MDKD,060,2,2,0,14->30:1 | 6->12:1,14->12:1 | 6->30:1,"6:oh=2,model=1,mtd=0,store_oh=11,store_model=7,store_mtd=0,turns=0.0,total_surplus=4 ; 14:oh=2,model=1,mtd=0,store_oh=7,store_model=7,store_mtd=0,turns=0.0,total_surplus=0","12:oh=0,model=1,mtd=0,store_oh=3,store_model=7,store_mtd=0,turns=0.0,total_surplus=-4 ; 30:oh=0,model=1,mtd=0,store_oh=2,store_model=7,store_mtd=0,turns=0.0,total_surplus=-5",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
042KDBL,ZapDpPtMetLonEAGLE W,553,MITE,12,1,1,0,12->30:1,6->30:1,"6:oh=5,model=2,mtd=0,store_oh=14,store_model=7,store_mtd=0,turns=0.0,total_surplus=7 ; 12:oh=4,model=2,mtd=0,store_oh=14,store_model=7,store_mtd=0,turns=0.0,total_surplus=7","30:oh=1,model=2,mtd=0,store_oh=6,store_model=7,store_mtd=0,turns=0.0,total_surplus=-1",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
042KDBL,ZapDpPtMetLonEAGLE W,553,MITE,13,1,1,0,12->14:1,6->14:1,"6:oh=4,model=2,mtd=0,store_oh=14,store_model=7,store_mtd=0,turns=0.0,total_surplus=7 ; 12:oh=4,model=2,mtd=0,store_oh=14,store_model=7,store_mtd=0,turns=0.0,total_surplus=7","14:oh=1,model=2,mtd=0,store_oh=7,store_model=7,store_mtd=0,turns=0.0,total_surplus=0",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
042KDSBL,ZapDpPtMetLonEAGLE W,553,MITE,1,1,1,0,12->30:1,6->30:1,"6:oh=5,model=2,mtd=0,store_oh=12,store_model=8,store_mtd=0,turns=0.0,total_surplus=4 ; 12:oh=4,model=2,mtd=0,store_oh=9,store_model=8,store_mtd=0,turns=0.0,total_surplus=1","30:oh=1,model=2,mtd=0,store_oh=3,store_model=8,store_mtd=0,turns=0.0,total_surplus=-5",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
9515KBL,ZapTcAm4CuerCLAUDI W,503,MKIN,070,2,2,0,12->2:1 | 28->6:1,12->6:1 | 28->2:1,"12:oh=2,model=1,mtd=0,store_oh=8,store_model=8,store_mtd=0,turns=0.0,total_surplus=0 ; 28:oh=1,model=0,mtd=0,store_oh=1,store_model=0,store_mtd=0,turns=0.0,total_surplus=1","2:oh=0,model=1,mtd=0,store_oh=5,store_model=8,store_mtd=0,turns=0.0,total_surplus=-3 ; 6:oh=0,model=1,mtd=0,store_oh=3,store_model=8,store_mtd=0,turns=0.0,total_surplus=-5 ; 30:oh=0,model=1,mtd=0,store_oh=2,store_model=8,store_mtd=0,turns=0.0,total_surplus=-6",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
901025ZHBHBK,ZapTaAm4CueCLAUD 1,501,MLUG,110,2,2,0,14->13:1 | 14->6:1,14->13:1 | 2->6:1,"2:oh=1,model=0,mtd=0,store_oh=2,store_model=0,store_mtd=0,turns=0.0,total_surplus=2 ; 14:oh=3,model=1,mtd=0,store_oh=6,store_model=5,store_mtd=0,turns=0.0,total_surplus=1","6:oh=0,model=1,mtd=0,store_oh=0,store_model=5,store_mtd=0,turns=0.0,total_surplus=-5 ; 13:oh=0,model=1,mtd=0,store_oh=0,store_model=5,store_mtd=0,turns=0.0,total_surplus=-5",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
2750GYWH,ZapDpAm6LonSUPER W,541,MSAR,41.5,1,1,0,14->6:1,12->6:1,"12:oh=1,model=0,mtd=0,store_oh=4,store_model=0,store_mtd=0,turns=0.0,total_surplus=4 ; 14:oh=2,model=1,mtd=0,store_oh=9,store_model=14,store_mtd=0,turns=0.0,total_surplus=-5","6:oh=0,model=1,mtd=0,store_oh=1,store_model=14,store_mtd=0,turns=0.0,total_surplus=-13",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
2750WHT,ZapDpAm6LonSUPER W,541,MSAR,35,2,2,0,12->30:1 | 6->13:1,6->13:1 | 6->30:1,"6:oh=3,model=1,mtd=0,store_oh=9,store_model=14,store_mtd=0,turns=0.0,total_surplus=-5 ; 12:oh=2,model=1,mtd=0,store_oh=9,store_model=14,store_mtd=0,turns=0.0,total_surplus=-5","13:oh=0,model=1,mtd=0,store_oh=0,store_model=14,store_mtd=0,turns=0.0,total_surplus=-14 ; 30:oh=0,model=1,mtd=0,store_oh=0,store_model=14,store_mtd=0,turns=0.0,total_surplus=-14",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
UH072GY,ZapDpPtAm6LonURBAN Z,541,PCAR,070,2,2,0,14->12:1 | 30->6:1,14->6:1 | 2->12:1,"2:oh=2,model=1,mtd=0,store_oh=2,store_model=8,store_mtd=0,turns=0.0,total_surplus=-6 ; 14:oh=2,model=1,mtd=0,store_oh=5,store_model=8,store_mtd=0,turns=0.0,total_surplus=-3 ; 30:oh=2,model=1,mtd=0,store_oh=2,store_model=8,store_mtd=0,turns=0.0,total_surplus=-6","6:oh=0,model=1,mtd=0,store_oh=0,store_model=8,store_mtd=0,turns=0.0,total_surplus=-8 ; 12:oh=0,model=1,mtd=0,store_oh=0,store_model=8,store_mtd=1,turns=24.0,total_surplus=-8",SKU-size total matches; difference is donor/receiver allocation among eligible stores.
